;DeltaOz_Reposo_EEG _AO.csv;ThetaOz_Reposo_EEG _AO.csv;AlphaOz_Reposo_EEG _AO.csv;BetaOz_Reposo_EEG _AO.csv;DeltaO1O2_Reposo_EEG _AO.csv;ThetaO1O2_Reposo_EEG _AO.csv;AlphaO1O2_Reposo_EEG _AO.csv;BetaO1O2_Reposo_EEG _AO.csv;DeltaPO_Reposo_EEG _AO.csv;ThetaPO_Reposo_EEG _AO.csv;AlphaPO_Reposo_EEG _AO.csv;BetaPO_Reposo_EEG _AO.csv;DeltaPOL_Reposo_EEG _AO.csv;ThetaPOL_Reposo_EEG _AO.csv;AlphaPOL_Reposo_EEG _AO.csv;BetaPOL_Reposo_EEG _AO.csv;DeltaPOR_Reposo_EEG _AO.csv;ThetaPOR_Reposo_EEG _AO.csv;AlphaPOR_Reposo_EEG _AO.csv;BetaPOR_Reposo_EEG _AO.csv;DeltaOz_Reposo_EEG_OD.csv;ThetaOz_Reposo_EEG_OD.csv;AlphaOz_Reposo_EEG_OD.csv;BetaOz_Reposo_EEG_OD.csv;DeltaO1O2_Reposo_EEG_OD.csv;ThetaO1O2_Reposo_EEG_OD.csv;AlphaO1O2_Reposo_EEG_OD.csv;BetaO1O2_Reposo_EEG_OD.csv;DeltaPO_Reposo_EEG_OD.csv;ThetaPO_Reposo_EEG_OD.csv;AlphaPO_Reposo_EEG_OD.csv;BetaPO_Reposo_EEG_OD.csv;DeltaPOL_Reposo_EEG_OD.csv;ThetaPOL_Reposo_EEG_OD.csv;AlphaPOL_Reposo_EEG_OD.csv;BetaPOL_Reposo_EEG_OD.csv;DeltaPOR_Reposo_EEG_OD.csv;ThetaPOR_Reposo_EEG_OD.csv;AlphaPOR_Reposo_EEG_OD.csv;BetaPOR_Reposo_EEG_OD.csv;DeltaOz_Reposo_EEG_OI.csv;ThetaOz_Reposo_EEG_OI.csv;AlphaOz_Reposo_EEG_OI.csv;BetaOz_Reposo_EEG_OI.csv;DeltaO1O2_Reposo_EEG_OI.csv;ThetaO1O2_Reposo_EEG_OI.csv;AlphaO1O2_Reposo_EEG_OI.csv;BetaO1O2_Reposo_EEG_OI.csv;DeltaPO_Reposo_EEG_OI.csv;ThetaPO_Reposo_EEG_OI.csv;AlphaPO_Reposo_EEG_OI.csv;BetaPO_Reposo_EEG_OI.csv;DeltaPOL_Reposo_EEG_OI.csv;ThetaPOL_Reposo_EEG_OI.csv;AlphaPOL_Reposo_EEG_OI.csv;BetaPOL_Reposo_EEG_OI.csv;DeltaPOR_Reposo_EEG_OI.csv;ThetaPOR_Reposo_EEG_OI.csv;AlphaPOR_Reposo_EEG_OI.csv;BetaPOR_Reposo_EEG_OI.csv;DeltaOz_Reposo_EEG.csv;ThetaOz_Reposo_EEG.csv;AlphaOz_Reposo_EEG.csv;BetaOz_Reposo_EEG.csv;DeltaO1O2_Reposo_EEG.csv;ThetaO1O2_Reposo_EEG.csv;AlphaO1O2_Reposo_EEG.csv;BetaO1O2_Reposo_EEG.csv;DeltaPO_Reposo_EEG.csv;ThetaPO_Reposo_EEG.csv;AlphaPO_Reposo_EEG.csv;BetaPO_Reposo_EEG.csv;DeltaPOL_Reposo_EEG.csv;ThetaPOL_Reposo_EEG.csv;AlphaPOL_Reposo_EEG.csv;BetaPOL_Reposo_EEG.csv;DeltaPOR_Reposo_EEG.csv;ThetaPOR_Reposo_EEG.csv;AlphaPOR_Reposo_EEG.csv;BetaPOR_Reposo_EEG.csv
S2;0.223564648;0.302267365;0.25056653;0.217138557;0.145630833;0.202195354;0.338383217;0.304746645;0.14362356;0.164170558;0.383207855;0.301082318;0.146532443;0.198139303;0.339072214;0.306602437;0.13826434;0.191587774;0.399549199;0.265024162;0.215636885;0.305002139;0.210797514;0.262119527;0.18565673;0.248886506;0.199287072;0.356391617;0.20674001;0.225627126;0.201478988;0.355749451;0.171615787;0.235172653;0.201727014;0.380427768;0.189982566;0.278879286;0.198606245;0.323447129;0.241361469;0.337117687;0.203118845;0.212203994;0.136437569;0.302798141;0.225394321;0.324657911;0.150774379;0.253649723;0.232928825;0.35257805;0.134842925;0.291673335;0.214960562;0.346329138;0.15983906;0.289784969;0.248906383;0.294754481;0.084274014;0.201487068;0.537996972;0.169335418;0.069030264;0.131210451;0.590972933;0.200204766;0.072147971;0.109768218;0.594885797;0.214555509;0.062187389;0.120997046;0.573040757;0.232266151;0.068567234;0.111963024;0.670300946;0.145218454
S3;0.38482978;0.235400186;0.122562137;0.254812404;0.240861515;0.206475669;0.166031829;0.383238832;0.183994981;0.187849686;0.200886455;0.422543046;0.200445138;0.192315134;0.198385434;0.405412408;0.197259087;0.201884951;0.183045411;0.412315585;0.329693263;0.227496013;0.162241964;0.273096749;0.234878704;0.209335361;0.19605072;0.353220296;0.232909461;0.191125465;0.181696183;0.385703213;0.247222282;0.20615582;0.170421075;0.370430326;0.240897193;0.198908001;0.204205671;0.34997131;0.32802576;0.264380174;0.158732976;0.246496339;0.195596415;0.213340223;0.191870074;0.395953748;0.155589483;0.17628902;0.223599922;0.440515333;0.189509539;0.197479185;0.203583296;0.405752698;0.190568715;0.200766695;0.227386953;0.378352578;0.129752836;0.141818082;0.294098256;0.432593025;0.105326067;0.132403893;0.278378404;0.481521348;0.115038311;0.122314911;0.286978031;0.472940926;0.110094479;0.116783947;0.298931301;0.471989;0.080700624;0.118565868;0.322477922;0.475892618
S5;0.110752134;0.153054229;0.449096886;0.284377733;0.197733958;0.118835512;0.417736283;0.262873926;0.333199409;0.122034638;0.335433257;0.207216547;0.145439129;0.096561865;0.50668959;0.248914692;0.215782599;0.143185449;0.34741853;0.290628809;0.174372282;0.177851423;0.434484944;0.21031731;0.214266481;0.171589937;0.389001848;0.221692542;0.344835121;0.199927433;0.272014052;0.179787403;0.190388821;0.132684913;0.459876907;0.213735944;0.260777568;0.193294356;0.319270023;0.222328201;0.055807495;0.115624056;0.540852556;0.285666033;0.044528251;0.091219893;0.589647889;0.272191873;0.065394716;0.09506504;0.552451218;0.284440247;0.038704179;0.075050925;0.629714502;0.25448822;0.055560366;0.114344866;0.4986752;0.328433023;0.058222969;0.080276474;0.509030069;0.350691699;0.069633325;0.081479043;0.492206397;0.354887236;0.101530297;0.105112813;0.463702107;0.32786402;0.067520677;0.075908188;0.48916576;0.364947241;0.072784084;0.083950598;0.519846535;0.322242658
S6;0.111712469;0.191604924;0.457800715;0.23655528;0.063672901;0.162349193;0.456833852;0.313975103;0.08115678;0.152151802;0.406607205;0.356505713;0.083961989;0.152471075;0.406602064;0.353033571;0.049569456;0.122246432;0.555027781;0.270521543;0.166261463;0.18260696;0.330741065;0.31353059;0.111897897;0.159673323;0.30960224;0.408447093;0.110219591;0.161814673;0.290405331;0.430715782;0.119786048;0.162884774;0.295390307;0.41363642;0.094523481;0.127194865;0.374243451;0.397271865;0.133084961;0.164073843;0.524131074;0.175076799;0.096807919;0.142576835;0.508284171;0.247226765;0.095609738;0.137649978;0.455809592;0.304287792;0.09475422;0.146078292;0.462913451;0.289739297;0.089453446;0.112036071;0.591712482;0.201208966;0.072897328;0.12568435;0.60266697;0.19572306;0.04788344;0.110856753;0.582124157;0.25316228;0.051565874;0.109542341;0.566956012;0.265748812;0.056288905;0.113465391;0.549672512;0.273485164;0.035139566;0.082018473;0.676232575;0.201832527
S7;0.293646063;0.386129367;0.155232022;0.163001018;0.204959334;0.284337169;0.205685439;0.302497249;0.231636476;0.254484302;0.197485912;0.313653161;0.204902492;0.293431626;0.196880934;0.301893507;0.282256036;0.266194453;0.20378056;0.245827415;0.211327993;0.422162708;0.165319842;0.198327625;0.153034474;0.315477653;0.196289623;0.331782266;0.151074561;0.300816804;0.198323268;0.346680577;0.152501578;0.31566852;0.2029404;0.325824922;0.182249354;0.334133902;0.186418429;0.292520528;0.170991727;0.426362934;0.21711997;0.181407014;0.120462043;0.298643422;0.247509272;0.329492919;0.159059065;0.245100877;0.22228929;0.368158951;0.127159747;0.306428526;0.238468272;0.324515304;0.162549926;0.304032279;0.227682388;0.300582058;0.195539237;0.253267508;0.347262422;0.200275812;0.091141657;0.220715077;0.368952016;0.314429454;0.121071866;0.182030077;0.300320125;0.38722195;0.187584752;0.224105646;0.308748788;0.27588741;0.15036833;0.182743005;0.356199943;0.304559825
S10;0.246609056;0.23683117;0.336091925;0.177470457;0.139185772;0.171545053;0.394408511;0.289020909;0.147915182;0.165726863;0.353185793;0.325243267;0.164031574;0.186718685;0.346529637;0.297235115;0.121180515;0.14557642;0.466344203;0.261191117;0.234580919;0.407567243;0.179416921;0.173906867;0.182920423;0.279614604;0.234231277;0.295589616;0.196602967;0.256660504;0.240963264;0.297805469;0.179086046;0.28761041;0.235069429;0.291818764;0.173226372;0.267612766;0.251983575;0.298435722;0.226369688;0.279563286;0.354561489;0.136778365;0.132783605;0.205582536;0.418721314;0.236993836;0.163169028;0.198790561;0.355218393;0.275818355;0.220910616;0.257075293;0.2669261;0.2501873;0.109570991;0.160999222;0.519921054;0.203617392;0.046024186;0.105495539;0.740327578;0.105825812;0.049808872;0.077252211;0.729788469;0.139597451;0.065375838;0.080526231;0.699697254;0.150334714;0.046026187;0.071993556;0.754244763;0.12462115;0.048898875;0.074528517;0.742697584;0.130524745
S11;0.107918856;0.198125933;0.540779804;0.150690529;0.084197264;0.129872537;0.615526624;0.167148458;0.073367758;0.104282912;0.670071558;0.149803448;0.078140585;0.12954932;0.643547556;0.146413494;0.061910826;0.095314401;0.70065564;0.139986797;0.380169804;0.307863401;0.132494523;0.174852909;0.392545035;0.312655462;0.130885497;0.16004547;0.395631264;0.315974594;0.130549533;0.154344665;0.395289603;0.315834044;0.130705658;0.154659354;0.377115347;0.308426227;0.132413077;0.177298894;0.182323247;0.254578526;0.382942607;0.176148661;0.126342096;0.163661273;0.494822867;0.209043293;0.115058348;0.13283464;0.55910683;0.188409118;0.1231048;0.159996959;0.539570609;0.173152627;0.112115121;0.143447914;0.54795291;0.192316227;0.05679092;0.068744778;0.778342223;0.094905793;0.031642031;0.040658811;0.846635203;0.079947435;0.023027635;0.033809733;0.87434553;0.06780678;0.022152139;0.035320247;0.875324974;0.066445264;0.023200981;0.031312211;0.871080842;0.073190522
S13;0.209559413;0.272558354;0.138691475;0.37358001;0.199632596;0.21995901;0.151962437;0.422855394;0.206534691;0.253339297;0.151564017;0.38317537;0.191397893;0.24358727;0.150963691;0.408588303;0.21087596;0.240844092;0.153627544;0.389681782;0.236443571;0.280374592;0.149187477;0.32950307;0.204271305;0.220165142;0.162256579;0.406202968;0.218332421;0.213768113;0.169137955;0.389934877;0.21392913;0.230052972;0.145901838;0.401990923;0.201737972;0.214124707;0.191036606;0.387687025;0.241442217;0.286097136;0.171548913;0.296591372;0.181405239;0.27418025;0.185696357;0.353165807;0.178663844;0.298498974;0.183467635;0.332713852;0.174621655;0.292588493;0.17783162;0.349058663;0.173936573;0.290811281;0.186829442;0.342171743;0.205198193;0.222247612;0.185734879;0.382843269;0.175149074;0.176624066;0.207953411;0.43653499;0.184607654;0.204058495;0.201741109;0.40583096;0.195857634;0.172661759;0.199217296;0.428344172;0.185229591;0.179803193;0.188590645;0.442794514
S14;0.263991999;0.224382467;0.310648872;0.197631742;0.17383478;0.195149057;0.331895811;0.292205814;0.132102565;0.203602248;0.299874131;0.354308846;0.139779735;0.173329972;0.320346934;0.352592922;0.170173718;0.208745639;0.329081074;0.286976133;0.291517205;0.214947315;0.32405688;0.166436795;0.193869323;0.165656849;0.34804298;0.284846169;0.14592875;0.158118315;0.346499663;0.341333275;0.178250395;0.190824749;0.335416788;0.289483769;0.174888232;0.154356038;0.381143043;0.282055816;0.265820979;0.186398026;0.364699659;0.180443533;0.160062894;0.138338476;0.415698053;0.280669675;0.137197306;0.120704755;0.400378877;0.33362247;0.148763604;0.120282131;0.425260682;0.296947679;0.166917942;0.131707061;0.429633683;0.267378112;0.123002082;0.142456723;0.58786154;0.145013898;0.11123515;0.112794808;0.593687731;0.179632783;0.099443084;0.099083354;0.583171626;0.214779568;0.088403754;0.096668765;0.601725299;0.210329224;0.092048957;0.11234411;0.626354141;0.166922519
S15;0.049185777;0.127137648;0.671053208;0.149988981;0.035816642;0.078185642;0.713930843;0.169042681;0.05799093;0.092510441;0.668486964;0.17854326;0.035509694;0.086759292;0.683828129;0.190519407;0.049967742;0.102022004;0.678035479;0.168125174;0.0702186;0.128031921;0.590303121;0.209664452;0.041775997;0.092928631;0.611590854;0.25086001;0.063621145;0.128230541;0.589943367;0.215655068;0.050297406;0.119087614;0.584198888;0.243102882;0.052324127;0.109496592;0.613711308;0.22242452;0.048584566;0.152280443;0.645042947;0.152363106;0.044555277;0.100517866;0.686634881;0.165863307;0.076839427;0.111665824;0.640625988;0.168583968;0.04726858;0.10678125;0.664633002;0.178968764;0.067326657;0.115462551;0.651751464;0.163379658;0.035499593;0.080759879;0.75632748;0.125534594;0.025144715;0.06433802;0.76873096;0.139406255;0.031239329;0.067398591;0.768606115;0.130960666;0.027090603;0.066511541;0.778304098;0.125944499;0.024321785;0.070845954;0.769485062;0.133757413
S16;0.369573699;0.344578042;0.12405453;0.157456821;0.219053636;0.268211527;0.183256553;0.318996106;0.207975719;0.252074066;0.182339599;0.346974532;0.289799646;0.253855445;0.170879914;0.277696719;0.235566432;0.2924881;0.153240674;0.30820558;0.328037047;0.289799114;0.160476788;0.217940901;0.217257056;0.226908213;0.181810903;0.367463994;0.291146243;0.215692166;0.148324844;0.339042284;0.281833739;0.222830422;0.162011297;0.326351771;0.233022859;0.226456549;0.169704664;0.365658151;0.27827526;0.313820922;0.17972026;0.22476952;0.1498965;0.263051435;0.212333739;0.36741643;0.128024202;0.234979636;0.220086253;0.406984635;0.173295294;0.273266792;0.221034281;0.324624769;0.151952356;0.243601406;0.21100147;0.385597337;0.134461145;0.163576543;0.52949572;0.170416137;0.070174534;0.126091634;0.574502279;0.224427731;0.057810872;0.116945868;0.596025058;0.223470816;0.07448564;0.127096002;0.582062343;0.211151803;0.045667606;0.095339775;0.661639766;0.193635539
S18;0.212635174;0.302692848;0.245805987;0.236541399;0.133158955;0.257399963;0.287988355;0.317971354;0.141247172;0.232610059;0.28320849;0.338549723;0.126703289;0.242987558;0.328880766;0.298502767;0.148907195;0.22903452;0.292504758;0.326171806;0.266951722;0.253804;0.24623313;0.229955575;0.139392792;0.20142366;0.342755348;0.313739968;0.130161865;0.18435911;0.37543235;0.307366307;0.117885078;0.196526371;0.413885892;0.269211844;0.149423255;0.164910941;0.353941582;0.328833056;0.229331708;0.327130845;0.197623643;0.242314144;0.109802762;0.285290345;0.269569901;0.330750701;0.114057295;0.239193085;0.329957385;0.312092277;0.094965193;0.269600748;0.314171044;0.317917957;0.101599141;0.235684799;0.350520122;0.306695814;0.155612236;0.276217385;0.296412815;0.268988361;0.121803385;0.221344557;0.316563319;0.335844515;0.128436339;0.210779161;0.32407976;0.332117003;0.100113673;0.220423736;0.363145606;0.312531728;0.121654201;0.185267784;0.353834449;0.336226083
S19;0.208907798;0.314295403;0.288917434;0.185213647;0.202807327;0.268663948;0.327437945;0.197635413;0.191739633;0.255354617;0.359020565;0.189431762;0.142324363;0.268215564;0.362131989;0.220618829;0.19508112;0.248381996;0.374955101;0.179571188;0.170559449;0.24723653;0.378167374;0.201643656;0.1621574;0.247050744;0.388163949;0.200358123;0.171321337;0.291790143;0.345288584;0.188926981;0.116500067;0.235198267;0.433457528;0.211417714;0.173203935;0.290722923;0.342505544;0.191268463;0.212299184;0.284860879;0.29209205;0.208110953;0.181969898;0.267274035;0.308354596;0.239032349;0.178497364;0.296004335;0.296160331;0.225576389;0.151253901;0.258895559;0.329880198;0.254866218;0.17805585;0.294973293;0.304061364;0.220052815;0.103513269;0.230890014;0.533972493;0.129876276;0.081523626;0.205851259;0.579687108;0.131299188;0.070423092;0.208664055;0.585607206;0.13324467;0.075896006;0.212717135;0.558711271;0.150703873;0.071426721;0.211525628;0.590173673;0.125530215
S20;0.424227998;0.268283831;0.162228582;0.144378231;0.190849231;0.210749147;0.286036239;0.310873717;0.162158489;0.164969255;0.306319458;0.363862799;0.193218336;0.196198731;0.312541768;0.296321807;0.200029168;0.196982285;0.281289381;0.319354446;0.231759795;0.201751466;0.447647867;0.118132007;0.150646261;0.128250105;0.546467544;0.173188776;0.121492494;0.125601108;0.518530397;0.232196037;0.159465076;0.149646457;0.476749639;0.212734403;0.131601694;0.121516013;0.586206422;0.15905638;0.305963636;0.327704361;0.162278182;0.202563344;0.209804531;0.251379888;0.24314855;0.293224839;0.221840668;0.195755795;0.271979886;0.306985753;0.204447082;0.235462608;0.27767371;0.27965974;0.221031227;0.237536414;0.239637417;0.298464262;0.097505912;0.103204504;0.670500556;0.128141749;0.076903466;0.06194811;0.719899833;0.140695415;0.051340183;0.051545351;0.756723306;0.139754503;0.046130787;0.051075234;0.760819795;0.141365929;0.031232099;0.037581742;0.799591947;0.131166242
